Gene stable ID,Gene start (bp),Gene end (bp),Gene name
ENSG00000198771,167630093,167708696,RCSD1
ENSG00000162814,217631324,217871696,SPATA17
ENSG00000169469,153031203,153032900,SPRR1B
ENSG00000163216,153039732,153041931,SPRR2D
ENSG00000179002,18839599,18859682,TAS1R2
ENSG00000241794,153056120,153057512,SPRR2A
ENSG00000244094,153112121,153113516,SPRR2F
ENSG00000196805,153070224,153070840,SPRR2B
ENSG00000203785,153093135,153106184,SPRR2E
ENSG00000116906,231241207,231277973,GNPAT
ENSG00000159516,153149582,153150890,SPRR2G
ENSG00000203784,153203430,153205120,LELP1
ENSG00000143633,231223763,231241187,C1orf131
ENSG00000162747,161623196,161631963,FCGR3B
ENSG00000203783,153217584,153219310,PRR9
ENSG00000203782,153259687,153262124,LOR
ENSG00000159527,153297862,153310718,PGLYRP3
ENSG00000067533,218285293,218337983,RRP15
ENSG00000092969,218345336,218444619,TGFB2
ENSG00000198216,181317690,181808084,CACNA1E
ENSG00000072694,161663147,161678654,FCGR2B
ENSG00000197965,167721192,167791919,MPZL1
ENSG00000010072,231337104,231355023,SPRTN
ENSG00000116903,231332753,231337852,EXOC8
ENSG00000120341,177923956,177984303,SEC16B
ENSG00000268043,146938744,146996202,NBPF12
ENSG00000143353,219173869,219212865,LYPLAL1
ENSG00000143862,202133404,202144743,ARL8A
ENSG00000132185,161706972,161714352,FCRLA
ENSG00000170075,202122917,202133592,GPR37L1
ENSG00000163218,153330120,153348841,PGLYRP4
ENSG00000270106,231528653,231819244,TSNAX-DISC1
ENSG00000162746,161721563,161728143,FCRLB
ENSG00000287856,231363797,231528603,AL445524.2
ENSG00000244020,237004103,237004418,MT1HL1
ENSG00000162946,231626815,232041272,DISC1
ENSG00000156875,100038095,100083377,MFSD14A
ENSG00000283761,99970011,100083321,AC118553.2
ENSG00000117620,99969351,100035634,SLC35A3
ENSG00000156876,100083563,100132955,SASS6
ENSG00000143851,202147013,202161588,PTPN7
ENSG00000179930,182054570,182061712,ZNF648
ENSG00000135766,231363751,231422287,EGLN1
ENSG00000116918,231528541,231566524,TSNAX
ENSG00000163220,153357854,153361023,S100A9
ENSG00000075945,169921326,170085208,KIFAP3
ENSG00000163221,153373711,153375621,S100A12
ENSG00000143546,153390032,153391073,S100A8
ENSG00000143199,167809388,167914215,ADCY10
ENSG00000215817,219608010,219613145,ZC3H11B
ENSG00000184330,153416520,153423222,S100A7A
ENSG00000196660,219685427,219958647,SLC30A10
ENSG00000197364,153437058,153439949,S100A7L2
ENSG00000143556,153457744,153460651,S100A7
ENSG00000082497,210232796,210246631,SERTAD4
ENSG00000197956,153534599,153536244,S100A6
ENSG00000054392,210328252,210676296,HHAT
ENSG00000135821,182381704,182392206,GLUL
ENSG00000081721,161749758,161757238,DUSP12
ENSG00000075391,178094141,178484147,RASAL2
ENSG00000188585,178479247,178499634,CLEC20A
ENSG00000118217,161766320,161964070,ATF6
ENSG00000136628,219968600,220046530,EPRS
ENSG00000143164,167935783,168075843,DCAF6
ENSG00000203740,170146001,170167790,METTL11B
ENSG00000158161,27970344,28088637,EYA3
ENSG00000143158,167916675,167937072,MPC2
ENSG00000203730,182398117,182400616,TEDDM1
ENSG00000121446,182409192,182560599,RGSL1
ENSG00000133067,202193901,202319781,LGR6
ENSG00000162745,161983192,162023854,OLFML2B
ENSG00000120370,170532129,170553446,GORAB
ENSG00000240021,178513109,178548602,TEX35
ENSG00000284299,210858125,211134146,AL590132.1
ENSG00000283952,211082872,211188533,AC092017.3
ENSG00000116191,178725147,178921841,RALGPS2
ENSG00000143473,210676823,211134165,KCNH1
ENSG00000116132,170662728,170739421,PRRX1
ENSG00000116194,178849535,178871077,ANGPTL1
ENSG00000239887,162378841,162386812,C1orf226
ENSG00000198929,162069691,162370475,NOS1AP
ENSG00000254706,162365407,162383531,AL512785.2
ENSG00000171722,162373203,162376870,SPATA46
ENSG00000162813,220057482,220090462,BPNT1
ENSG00000007933,171090901,171117819,FMO3
ENSG00000010932,171248471,171285978,FMO1
ENSG00000169403,28147166,28193936,PTAFR
ENSG00000117501,170935471,171064765,MROH9
ENSG00000094963,171185249,171212686,FMO2
ENSG00000198574,162395268,162412138,SH2D1B
ENSG00000126698,28199456,28233029,DNAJC8
ENSG00000152332,162497251,162529631,UHMK1
ENSG00000130770,28236109,28246906,ATP5IF1
ENSG00000116199,179025804,179076567,FAM20B
ENSG00000130766,28259518,28282491,SESN2
ENSG00000117143,162561506,162599842,UAP1
ENSG00000130772,28329002,28335965,MED18
ENSG00000077152,202331657,202341980,UBE2T
ENSG00000117625,211258377,211316385,RCOR3
ENSG00000082512,211326615,211374946,TRAF5
ENSG00000067704,220094132,220148041,IARS2
ENSG00000116819,35573314,35595328,TFAP2E
ENSG00000126067,35599541,35641526,PSMB2
ENSG00000142686,35713877,35718894,C1orf216
ENSG00000198570,211476522,211492917,RD3
ENSG00000170385,211571568,211579161,SLC30A1
ENSG00000118873,220148293,220272453,RAB3GAP2
ENSG00000204138,28369582,28500364,PHACTR4
ENSG00000186283,179082070,179098023,TOR3A
ENSG00000117650,211658657,211675630,NEK2
ENSG00000135828,182573634,182589256,RNASEL
ENSG00000116141,220528183,220664461,MARK1
ENSG00000092853,35720218,35769978,CLSPN
ENSG00000180198,28505943,28539300,RCC1
ENSG00000162817,220690363,220699153,C1orf115
ENSG00000123684,211743457,211830763,LPGAT1
ENSG00000117791,220748225,220784815,MARC2
ENSG00000286231,220786990,220884503,AL445423.2
ENSG00000186205,220786913,220819659,MARC1
ENSG00000136630,220879431,220885059,HLX
ENSG00000143333,182598623,182604389,RGS16
ENSG00000076258,171314183,171342084,FMO4
ENSG00000135824,182641816,182684576,RGS8
ENSG00000143322,179099330,179229684,ABL2
ENSG00000135838,182789293,182830384,NPL
ENSG00000143476,212035553,212107400,DTL
ENSG00000135829,182839347,182887982,DHX9
ENSG00000143493,211940399,212035557,INTS7
ENSG00000162733,162631373,162787405,DDR2
ENSG00000132196,162790702,162812817,HSD17B7
ENSG00000185860,162824458,162868815,CCDC190
ENSG00000157060,182899865,182953525,SHCBP1L
ENSG00000135862,183023420,183145592,LAMC1
ENSG00000117152,163068775,163076802,RGS4
ENSG00000143248,163111121,163321791,RGS5
ENSG00000058085,183186238,183244900,LAMC2
ENSG00000143228,163266576,163355764,NUF2
ENSG00000157064,183248237,183418380,NMNAT2
ENSG00000185630,164555584,164899296,PBX1
ENSG00000265972,145992435,145996600,TXNIP
ENSG00000276747,17372196,17401699,PADI6
ENSG00000143641,230057990,230282122,GALNT2
ENSG00000117594,209686178,209734949,HSD11B1
ENSG00000123689,209675412,209676390,G0S2
ENSG00000116977,236518000,236552981,LGALS8
ENSG00000000460,169662007,169854080,C1orf112
ENSG00000171806,169792529,169794963,METTL18
ENSG00000119285,236549005,236604516,HEATR1
ENSG00000007908,169722640,169764705,SELE
ENSG00000000457,169849631,169894267,SCYL3
ENSG00000188404,169690665,169711702,SELL
ENSG00000159445,151870866,151909637,THEM4
ENSG00000196407,151847101,151853712,THEM5
ENSG00000225556,151837819,151840557,C2CD4D
ENSG00000135763,229626247,229660200,URB2
ENSG00000196878,209614870,209652425,LAMB3
ENSG00000135801,229593111,229626047,TAF5L
ENSG00000213171,151800264,151806154,LINGO4
ENSG00000143365,151806071,151831845,RORC
ENSG00000159339,17308195,17364004,PADI4
ENSG00000158156,27959462,27968096,XKR8
ENSG00000143207,175944831,176207286,COP1
ENSG00000130768,27935000,27959157,SMPDL3B
ENSG00000116641,62454298,62688368,DOCK7
ENSG00000065526,15847707,15940456,SPEN
ENSG00000058453,16740273,16972964,CROCC
ENSG00000180708,158418210,158426237,OR10K2
ENSG00000143801,226870184,226896105,PSEN2
ENSG00000178796,151710433,151729805,RIIAD1
ENSG00000121764,31617686,31632518,HCRTR1
ENSG00000159409,151702404,151716814,CELF3
ENSG00000084636,31652263,31704319,COL16A1
ENSG00000173285,158461574,158470857,OR10K1
ENSG00000213064,168225938,168253021,SFT2D2
ENSG00000117758,27773219,27824443,STX12
ENSG00000198965,158472220,158480936,OR10R2
ENSG00000189409,1632095,1635263,MMP23B
ENSG00000117751,27830782,27851676,PPP1R8
ENSG00000094975,172532349,172611833,SUCO
ENSG00000248333,1635227,1659012,CDK11B
ENSG00000126107,45002540,45011324,HECTD3
ENSG00000203705,212791828,212816830,TATDN3
ENSG00000162517,31629866,31644896,PEF1
ENSG00000163050,226897536,226987545,COQ8A
ENSG00000126088,45010950,45015575,UROD
ENSG00000143178,168280877,168314426,TBX19
ENSG00000085433,108970214,109042113,WDR47
ENSG00000117266,205504595,205532793,CDK18
ENSG00000158887,161304735,161309968,MPZ
ENSG00000197532,158544550,158554405,OR6Y1
ENSG00000186440,158560606,158570580,OR6P1
ENSG00000279111,158578919,158579899,OR10X1
ENSG00000142698,34166883,34219131,C1orf94
ENSG00000198967,158605268,158612514,OR10Z1
ENSG00000163554,158610706,158686715,SPTA1
ENSG00000188931,161364731,161367874,CFAP126
ENSG00000143252,161314257,161375340,SDHC
ENSG00000203737,174448074,174449545,GPR52
ENSG00000116218,179550539,179575952,NPHS2
ENSG00000143185,168540768,168543997,XCL2
ENSG00000152061,174159410,174995308,RABGAP1L
ENSG00000203710,207496147,207641765,CR1
ENSG00000162779,179365720,179554735,AXDND1
ENSG00000143184,168576605,168582069,XCL1
ENSG00000116525,33145399,33182059,TRIM62
ENSG00000116809,15941869,15976132,ZBTB17
ENSG00000198835,228149930,228159826,GJC2
ENSG00000181873,228165804,228182257,IBA57
ENSG00000143196,168695468,168729206,DPT
ENSG00000196171,158699678,158700652,OR6K2
ENSG00000284188,244729898,244730962,AL451007.3
ENSG00000183888,16004236,16008807,SRARP
ENSG00000203757,158716327,158720720,OR6K3
ENSG00000197403,158747814,158772195,OR6N1
ENSG00000180433,158754720,158755891,OR6K6
ENSG00000160094,33256492,33300719,ZNF362
ENSG00000117262,145607988,145670650,GPR89A
ENSG00000189433,34759740,34762327,GJB4
ENSG00000203667,244835616,244845057,COX20
ENSG00000189280,34755047,34758512,GJB5
ENSG00000187513,34792999,34795747,GJA4
ENSG00000120942,11273206,11296049,UBIAD1
ENSG00000188910,34781214,34786369,GJB3
ENSG00000153187,244840638,244864560,HNRNPU
ENSG00000163866,34712737,34859755,SMIM12
ENSG00000160710,154582057,154628013,ADAR
ENSG00000137936,93561741,93847150,BCAR3
ENSG00000154358,228208063,228378876,OBSCN
ENSG00000186510,16018875,16034050,CLCNKA
ENSG00000031698,109213918,109238182,SARS
ENSG00000185523,212830141,212847649,SPATA45
ENSG00000184389,33306766,33321098,A3GALT2
ENSG00000134686,33323623,33431052,PHC2
ENSG00000173641,16014028,16019594,HSPB7
ENSG00000143436,151759647,151763496,MRPL9
ENSG00000188340,158774222,158781204,OR6N2
ENSG00000182134,151770107,151791416,TDRKH
ENSG00000162769,212858275,212899363,FLVCR1
ENSG00000117475,169367970,169396540,BLZF1
ENSG00000116544,34865436,34929650,DLGAP3
ENSG00000117477,169394870,169460669,CCDC181
ENSG00000143153,169105697,169132722,ATP1B1
ENSG00000143183,165724293,165827755,TMCO1
ENSG00000143156,169132531,169367948,NME7
ENSG00000143179,165827614,165911618,UCK2
ENSG00000133226,24631716,24673281,SRRM1
ENSG00000284773,34974356,34985313,AC114490.3
ENSG00000117560,172659103,172666876,FASLG
ENSG00000117519,94896949,94927223,CNN3
ENSG00000271741,34981533,35031741,AC114490.2
ENSG00000163867,34986165,35031945,ZMYM6
ENSG00000143450,151762899,151771334,OAZ3
ENSG00000243749,34981535,34985353,TMEM35B
ENSG00000067334,93866284,93879918,DNTTIP2
ENSG00000120337,173039960,173050963,TNFSF18
ENSG00000023909,93885199,93909456,GCLM
ENSG00000197721,207645113,207738416,CR1L
ENSG00000174514,205568885,205602918,MFSD4A
ENSG00000158711,205597556,205631962,ELK4
ENSG00000121903,33472645,33496507,ZSCAN20
ENSG00000173110,161524540,161526894,HSPA6
ENSG00000203747,161541759,161550737,FCGR3A
ENSG00000143494,212950520,212992037,VASH2
ENSG00000159166,201380838,201399915,LAD1
ENSG00000143226,161505430,161524013,FCGR2A
ENSG00000118194,201359008,201377764,TNNT2
ENSG00000189339,1659529,1692728,SLC35E2B
ENSG00000188859,166057426,166166969,FAM78B
ENSG00000162782,179591613,179691272,TDRD5
ENSG00000172339,94974405,95072951,ALG14
ENSG00000117586,173183731,173207331,TNFSF4
ENSG00000117592,173477330,173488815,PRDX6
ENSG00000196352,207321376,207386804,CD55
ENSG00000169504,24745382,24844321,CLIC4
ENSG00000143374,150487364,150507609,TARS2
ENSG00000092621,119648411,119744226,PHGDH
ENSG00000159363,16985958,17011928,ATP13A2
ENSG00000271092,95117923,95247225,TMEM56-RWDD3
ENSG00000122481,95234210,95247225,RWDD3
ENSG00000152078,95117355,95197607,TMEM56
ENSG00000143575,154272511,154275875,HAX1
ENSG00000183831,173609561,173669862,ANKRD45
ENSG00000162753,173500460,173603072,SLC9C2
ENSG00000117122,16974502,16980835,MFAP2
ENSG00000285777,173596060,173669837,AL139142.2
ENSG00000232113,173635338,173637130,TEX50
ENSG00000143340,179743163,179816198,FAM163A
ENSG00000280670,45493866,45500079,CCDC163
ENSG00000174606,212992182,213015867,ANGEL2
ENSG00000169905,179839967,179877803,TOR1AIP2
ENSG00000197056,35032172,35115859,ZMYM1
ENSG00000020633,24899511,24965121,RUNX3
ENSG00000076321,173714941,173786692,KLHL20
ENSG00000143337,179882042,179925000,TOR1AIP1
ENSG00000174827,145670852,145708148,PDZK1
ENSG00000265491,145738868,145824095,RNF115
ENSG00000186141,145824088,145844402,POLR3C
ENSG00000117281,145719471,145739288,CD160
ENSG00000204624,11479155,11537551,DISP3
ENSG00000158715,205657851,205680509,SLC45A3
ENSG00000132879,11654375,11663327,FBXO44
ENSG00000143126,109249539,109275751,CELSR2
ENSG00000117322,207454230,207489895,CR2
ENSG00000116661,11637018,11655785,FBXO2
ENSG00000117614,25222276,25232502,SYF2
ENSG00000143603,154697455,154870281,KCNN3
ENSG00000117593,173824653,173858808,DARS2
ENSG00000116560,35176378,35193145,SFPQ
ENSG00000117335,207752057,207795513,CD46
ENSG00000163344,154924740,154936719,PMVK
ENSG00000117616,25242249,25338213,RSRP1
ENSG00000143595,154321090,154325325,AQP10
ENSG00000168243,235547685,235650754,GNG4
ENSG00000187010,25272393,25330445,RHD
ENSG00000132763,45500300,45513382,MMACHC
ENSG00000117450,45511036,45523047,PRDX1
ENSG00000143515,154325553,154351304,ATP8B2
ENSG00000120334,173799550,173824720,CENPL
ENSG00000160712,154405193,154469450,IL6R
ENSG00000185278,173868082,173903549,ZBTB37
ENSG00000134222,109279556,109283186,PSRC1
ENSG00000117569,96721665,96823738,PTBP2
ENSG00000143157,166839447,166856344,POGK
ENSG00000131788,145848522,145859836,PIAS3
ENSG00000008128,1702379,1724357,CDK11A
ENSG00000186364,145845630,145848954,NUDT17
ENSG00000136643,213051233,213274774,RPS6KC1
ENSG00000152382,166856510,166876264,TADA1
ENSG00000215790,1724838,1745999,SLC35E2A
ENSG00000143669,235661041,235883640,LYST
ENSG00000143369,150508062,150513789,ECM1
ENSG00000117707,213983181,214041502,PROX1
ENSG00000135837,179954773,180114875,CEP350
ENSG00000221986,109292365,109307011,MYBPHL
ENSG00000117479,169463909,169485944,SLC19A2
ENSG00000143195,166895711,166975540,ILDR2
ENSG00000163346,154944076,154956123,PBXIP1
ENSG00000159173,201403768,201429866,TNNI1
ENSG00000198734,169511953,169586588,F5
ENSG00000116962,235975830,236065109,NID1
ENSG00000174175,169588849,169630193,SELP
ENSG00000134240,119747996,119768905,HMGCS2
ENSG00000130775,27872543,27886685,THEMIS2
ENSG00000146463,35268967,35422058,ZMYM4
ENSG00000117448,45550543,45570049,AKR1A1
ENSG00000174307,201464383,201469237,PHLDA3
ENSG00000188641,97077743,97995000,DPYD
ENSG00000143499,214281102,214337131,SMYD2
ENSG00000077585,236142505,236221865,GPR137B
ENSG00000086619,236215555,236281985,ERO1B
ENSG00000160691,154962298,154974395,SHC1
ENSG00000143384,150574551,150579738,MCL1
ENSG00000143382,150549369,150560937,ADAMTSL4
ENSG00000134193,119794017,119811580,REG4
ENSG00000152104,214348700,214552449,PTPN14
ENSG00000143194,166975582,167022214,MAEL
ENSG00000116260,180154869,180204030,QSOX1
ENSG00000198483,145866560,145885866,ANKRD35
ENSG00000162627,98661701,98760500,SNX7
ENSG00000134243,109309568,109397918,SORT1
ENSG00000117118,17018722,17054170,SDHB
ENSG00000163348,154957026,154963853,PYGO2
ENSG00000186197,236348257,236502915,EDARADD
ENSG00000154370,228393673,228406835,TRIM11
ENSG00000230124,180269653,180502954,ACBD6
ENSG00000121454,180230264,180278984,LHX4
ENSG00000162931,228407935,228416861,TRIM17
ENSG00000134249,119893533,119896495,ADAM30
ENSG00000174059,207880972,207911402,CD34
ENSG00000121753,31727117,31764893,ADGRB2
ENSG00000117598,98890245,99005032,PLPPR5
ENSG00000159176,201483530,201509456,CSRP1
ENSG00000143127,145891208,145910111,ITGA10
ENSG00000168148,228424845,228425325,HIST3H3
ENSG00000181218,228456979,228457873,HIST3H2A
ENSG00000117115,17066761,17119451,PADI2
ENSG00000196890,228458107,228460470,HIST3H2BB
ENSG00000168159,228487382,228496188,RNF187
ENSG00000117600,99263953,99309590,PLPPR4
ENSG00000121851,145964690,145978848,POLR3GL
ENSG00000131779,145911350,145918717,PEX11B
ENSG00000280778,145927258,145977811,AC243547.3
ENSG00000272031,145959441,145964575,ANKRD34A
ENSG00000271601,145933423,145958017,LIX1L
ENSG00000265241,145917714,145927678,RBM8A
ENSG00000076356,208022242,208244384,PLXNA2
ENSG00000117724,214603195,214664571,CENPF
ENSG00000116574,228735479,228746664,RHOU
ENSG00000120333,175010789,175023425,MRPS14
ENSG00000116161,174999163,175011715,CACYBP
ENSG00000143106,109399042,109426448,PSMA5
ENSG00000099260,99646113,99694541,PALMD
ENSG00000142623,17205128,17246007,PADI1
ENSG00000156869,99708632,99766631,FRRS1
ENSG00000168118,229271062,229305894,RAB4A
ENSG00000134250,119911553,120100779,NOTCH2
ENSG00000008130,1751232,1780457,NADK
ENSG00000143028,109466546,109482134,SYPL2
ENSG00000213029,229305135,229305326,SPHAR
ENSG00000198842,167094045,167129165,DUSP27
ENSG00000143167,167052836,167166479,GPA33
ENSG00000082482,215005775,215237093,KCNK2
ENSG00000162650,109483479,109492804,ATXN7L2
ENSG00000265808,120150898,120176515,SEC22B
ENSG00000132780,45583846,45618904,NASP
ENSG00000120332,175067858,175148066,TNN
ENSG00000134668,31790422,31816051,SPOCD1
ENSG00000142619,17249098,17284233,PADI3
ENSG00000235750,175156986,175192999,KIAA0040
ENSG00000142687,35433492,35557950,KIAA0319L
ENSG00000116147,175315194,175743616,TNR
ENSG00000154429,229321011,229343294,CCSAP
ENSG00000143632,229431245,229434098,ACTA1
ENSG00000198700,201829149,201884291,IPO9
ENSG00000020129,35557473,35567274,NCDN
ENSG00000117748,27891524,27914746,RPA2
ENSG00000134369,201622885,201826969,NAV1
ENSG00000069248,229440259,229508341,NUP133
ENSG00000078369,1785285,1891117,GNB1
ENSG00000008118,209583714,209613939,CAMK1G
ENSG00000169885,1915108,1917296,CALML6
ENSG00000136636,215567304,215621807,KCTD3
ENSG00000135776,229516582,229558707,ABCB10
ENSG00000248485,161258745,161285450,PCP4L1
ENSG00000186306,158398522,158399466,OR10T2
ENSG00000233954,15807169,15809348,UQCRHL
ENSG00000143149,165662216,165698863,ALDH9A1
ENSG00000135870,173931214,174022297,RC3H1
ENSG00000184454,24556087,24609328,NCMAP
ENSG00000162458,15756607,15786594,FBLIM1
ENSG00000123838,207104233,207144972,C4BPA
ENSG00000081277,201283452,201332993,PKP1
ENSG00000132773,45340052,45343973,TOE1
ENSG00000143772,226631690,226739323,ITPKB
ENSG00000117602,24502351,24541040,RCAN3
ENSG00000203685,226548764,226609230,STUM
ENSG00000163125,150363091,150476566,RPRD2
ENSG00000057252,179293714,179358680,SOAT1
ENSG00000143155,168178962,168202109,TIPRL
ENSG00000143748,224227334,224330189,NVL
ENSG00000000971,196651878,196747504,CFH
ENSG00000162572,1280436,1292029,SCNN1D
ENSG00000170382,204617170,204685738,LRRN2
ENSG00000277726,11012662,11030528,AL109811.3
ENSG00000009724,11026523,11047233,MASP2
ENSG00000143297,157513377,157552515,FCRL5
ENSG00000162521,32651142,32686211,RBBP4
ENSG00000196427,108223341,108244081,NBPF4
ENSG00000163531,204828651,205022822,NFASC
ENSG00000162520,32680360,32703596,SYNC
ENSG00000180875,240489573,240612155,GREM2
ENSG00000186092,65419,71585,OR4F5
ENSG00000132485,71063291,71081289,ZRANB2
ENSG00000182901,240775515,241357230,RGS7
ENSG00000116815,116514534,116571039,CD58
ENSG00000122218,160288594,160343273,COPA
ENSG00000159346,202940826,202958572,ADIPOR1
ENSG00000186086,108450282,108471002,NBPF6
ENSG00000174348,53062052,53085502,PODN
ENSG00000143258,161159450,161165723,USP21
ENSG00000159348,202961873,202967275,CYB5R1
ENSG00000196189,156147366,156177752,SEMA4A
ENSG00000116785,196774795,196795406,CFHR3
ENSG00000081248,201039512,201112451,CACNA1S
ENSG00000162636,108560089,108644900,FAM102B
ENSG00000163518,157573747,157598085,FCRL4
ENSG00000244414,196819757,196832189,CFHR1
ENSG00000143554,153774354,153780157,SLC27A3
ENSG00000118733,101802574,101997030,OLFM3
ENSG00000177628,155234452,155244699,GBA
ENSG00000134365,196888014,196918713,CFHR4
ENSG00000143624,153728050,153774808,INTS3
ENSG00000143061,116574399,116667755,IGSF3
ENSG00000284733,450703,451697,OR4F29
ENSG00000143341,185734391,186190949,HMCN1
ENSG00000162736,160343316,160358952,NCSTN
ENSG00000163444,203007374,203024848,TMEM183A
ENSG00000080910,196943738,196959622,CFHR2
ENSG00000198799,113073198,113132260,LRIG2
ENSG00000134389,196977556,197009674,CFHR5
ENSG00000116824,116754430,116769229,CD2
ENSG00000143278,197038741,197067267,F13B
ENSG00000143612,154206696,154220637,C1orf43
ENSG00000263464,149583865,149584464,PPIAL4C
ENSG00000117245,20664014,20718017,KIF17
ENSG00000143569,154220179,154271510,UBAP2L
ENSG00000153230,247738615,247739559,OR14K1
ENSG00000169214,247711436,247716646,OR6F1
ENSG00000162383,53087179,53142632,SLC1A7
ENSG00000284824,247524679,247532613,GCSAML-AS1
ENSG00000177489,247588360,247589313,OR2G2
ENSG00000196242,247524677,247536440,OR2C3
ENSG00000241128,247722957,247724043,OR14A2
ENSG00000221888,247754846,247760556,OR1C1
ENSG00000239395,247711813,247723764,AC118470.1
ENSG00000197437,247670812,247679739,OR13G1
ENSG00000169224,247507058,247577690,GCSAML
ENSG00000116138,15526813,15592379,DNAJC16
ENSG00000060656,29236516,29326813,PTPRU
ENSG00000177476,247605586,247606515,OR2G3
ENSG00000116690,186296279,186314562,PRG4
ENSG00000162639,108648290,108661526,HENMT1
ENSG00000116771,15571699,15585051,AGMAT
ENSG00000047410,186311652,186375693,TPR
ENSG00000066279,197084127,197146694,ASPM
ENSG00000134247,116909916,116990353,PTGFRN
ENSG00000134256,117001750,117036476,CD101
ENSG00000189410,20719731,20732837,SH2D5
ENSG00000117226,89006679,89022894,GBP3
ENSG00000116830,117060326,117107453,TTF2
ENSG00000177888,197153680,197200542,ZBTB41
ENSG00000143375,151510510,151538692,CGN
ENSG00000023902,150149183,150164720,PLEKHO1
ENSG00000143224,161166056,161178013,PPOX
ENSG00000284662,685679,686673,OR4F16
ENSG00000143776,226989865,227318474,CDC42BPA
ENSG00000203814,149782689,149812373,HIST2H2BF
